"","area","lat","long"
"Clinostomus funduloides",48,37,-80
"Coregonus alpenae",29,46,-86
"Coregonus artedii",81,46,-88
"Coregonus canadensis",2,45,-66
"Coregonus clupeaformis",113,48,-86
"Coregonus hoyi",48,47,-86
"Coregonus johannae",26,46,-86
"Coregonus kiyi",48,47,-86
"Coregonus nigripinnis",26,46,-86
"Coregonus reighardi",31,44,-86
"Coregonus zenithicus",22,47,-87
"Crenichthys baileyi",5,38,-116
"Crenichthys nevadae",2,39,-118
"Crystallaria asprella",40,33,-90
"Cycleptus elongatus",81,39,-92
"Cyprinella caerulea",5,34,-86
"Cyprinella callisema",5,34,-84
"Cyprinella callistia",8,34,-87
"Cyprinella callitaenis",10,33,-85
"Cyprinella camura",24,37,-90
"Cyprinella formosa",3,32,-108
"Cyprinella galactura",32,37,-86
"Cyprinella gibbsi",6,34,-86
"Cyprinella leedsi",10,32,-83
"Cyprinella lutrensis",199,42,-99
"Cyprinella nivea",33,36,-122
"Cyprinella proserpina",3,30,-102
"Cyprinella pyrrhomelas",8,36,-82
"Cyprinella trichroista",5,34,-86
"Cyprinella xaenocephalus",8,34,-86
"Cyprinella xaenura",3,34,-84
"Cyprinodon bovinus",1,31,-102
"Cyprinodon diabolis",1,37,-117
"Cyprinodon elegans",3,31,-103
"Cyprinodon eximius",5,30,-104
"Cyprinodon macularius",12,33,-116
"Cyprinodon nevadensis",1,37,-117
"Cyprinodon pecosensis",6,32,-103
"Cyprinodon radiosus",1,37,-119
"Cyprinodon rubrofluviatilis",10,35,-100
"Cyprinodon salinus",2,38,-118
"Cyprinodon tularosa",1,34,-106
"Cyprinodon variegatus",64,30,-80
"Dionda diaboli",2,30,-102
"Dionda episcopa",20,30,-105
"Dorosoma cepedianum",501,35,-98
"Dorosoma petenense",168,34,-82
"Elops affinis",5,34,-116
"Elops saurus",49,30,-82
"Empetrichthys latos",1,37,-117
"Empetrichthys merriami",1,37,-117
"Eremichthys Acros",1,42,-114
"Erimystax cahni",2,37,-84
"Erimystax dissimilis",33,37,-82
"Erimystax insignis",20,37,-86
"Erimystax monacha",11,36,-85
"Erimyzon oblongus",141,35,-88
"Erimyzon sucetta",121,32,-89
"Erimyzon tenuis",19,32,-89
"Etheostoma acuticeps",2,37,-82
"Etheostoma akatulo",2,36,-85
"Etheostoma aquali",3,36,-87
"Etheostoma asprigene",54,40,-91
"Etheostoma atripinne",7,37,-85
"Etheostoma barbouri",5,38,-86
"Etheostoma bellum",5,38,-86
"Etheostoma blennius",6,36,-87
"Etheostoma boschungi",3,35,-87
"Etheostoma camurum",30,40,-86
"Etheostoma chlorobranchium",6,36,-82
"Etheostoma cinereum",12,37,-84
"Etheostoma collettei",12,33,-92
"Etheostoma collis",6,36,-79
"Etheostoma coosae",6,35,-85
"Etheostoma cragini",11,38,-96
"Etheostoma davisoni",8,32,-86
"Etheostoma ditrema",4,35,-84
"Etheostoma duryi",12,36,-88
"Etheostoma edwini",17,31,-85
"Etheostoma etnieri",2,36,-85
"Etheostoma euzonum",10,37,-92
"Etheostoma fonticola",2,30,-98
"Etheostoma fricksium",4,34,-81
"Etheostoma grahami",2,30,-100
"Etheostoma histrio",47,32,-87
"Etheostoma hopkinsi",7,34,-83
"Etheostoma inscriptum",8,34,-82
"Etheostoma jessiae",11,36,-86
"Etheostoma jordani",9,35,-86
"Etheostoma juliae",6,37,-93
"Etheostoma kanawhae",3,37,-80
"Etheostoma kennicotti",20,38,-88
"Etheostoma lepidum",9,32,-99
"Etheostoma longimanum",5,38,-78
"Etheostoma luteovinctum",5,36,-86
"Etheostoma maculatum",21,38,-82
"Etheostoma mariae",2,36,-79
"Etheostoma meadiae",2,37,-82
"Etheostoma microlepidum",2,37,-86
"Etheostoma moorei",1,36,-92
"Etheostoma neopterum",6,36,-88
"Etheostoma nianguae",5,39,-92
"Etheostoma nuchale",1,34,-86
"Etheostoma obeyense",3,37,-84
"Etheostoma okaloosae",1,31,-86
"Etheostoma olivaceum",2,37,-86
"Etheostoma osburni",6,39,-80
"Etheostoma pallididorsum",1,35,-93
"Etheostoma perlongum",1,35,-78
"Etheostoma podostemone",4,38,-80
"Etheostoma punctulatum",18,37,-92
"Etheostoma radiosum",9,35,-94
"Etheostoma rubrum",1,33,-90
"Etheostoma rufilineatum",25,37,-86
"Etheostoma rupestre",13,34,-87
"Etheostoma sagitta",4,38,-83
"Etheostoma saludae",2,35,-82
"Etheostoma sellare",1,40,-76
"Etheostoma serriferum",25,35,-77
"Etheostoma simoterum",17,36,-83
"Etheostoma smithi",5,37,-88
"Etheostoma squamiceps",19,38,-88
"Etheostoma striatulum",1,36,-86
"Etheostoma swaini",33,32,-88
"Etheostoma swannanoa",6,37,-82
"Etheostoma tetrazonum",8,38,-92
"Etheostoma thalassinum",8,36,-81
"Etheostoma tippecanoe",21,37,-83
"Etheostoma trisella",3,35,-84
"Etheostoma tuscumbia",3,35,-87
"Etheostoma variatum",30,40,-80
"Etheostoma virgatum",7,37,-85
"Etheostoma vitreum",50,33,-93
"Etheostoma zoniferum",7,33,-88
"Exoglossum laurae",12,38,-80
"Fundulus albolineatus",1,35,-86
"Fundulus blairae",21,32,-94
"Fundulus catenatus",45,37,-93
"Fundulus chrysotus",56,31,-81
"Fundulus cingulatus",19,31,-81
"Fundulus confluentus",23,30,-80
"Fundulus diaphanus",143,44,-76
"Fundulus dispar",26,42,-90
"Fundulus escambiae",10,31,-85
"Fundulus grandis",37,30,-80
"Fundulus heteroclitus",37,42,-76
"Fundulus jenkinsi",6,31,-89
"Fundulus lineolatus",36,33,-81
"Fundulus luciae",13,40,-76
"Fundulus notatus",155,39,-88
"Fundulus notti",7,31,-88
"Fundulus olivaceus",92,36,-91
"Fundulus parvipinnis",8,35,-119
"Fundulus pulvereus",22,31,-76
"Fundulus rathbuni",9,36,-80
"Fundulus sciadicus",33,42,-100
"Fundulus seminolis",15,31,-82
"Fundulus stellifer",11,34,-85
"Fundulus waccamensis",2,36,-77
"Fundulus zebrinus",101,40,-97
"Gila Alvordensis",2,42,-119
"Gila atraria",21,42,-112
"Gila Bicolar",25,44,-119
"Gila coerulea",3,43,-122
"Gila copei",13,42,-112
"Gila crassicauda",13,38,-122
"Gila cypha",8,38,-110
"Gila ditaenia",2,32,-112
"Gila elegans",27,36,-111
"Gila nigrescens",1,33,-109
"Gila orcutti",10,35,-120
"Gila pandor",21,36,-106
"Gila purpurea",1,32,-110
"Harengula jaguana",3,30,-82
"Hemitremia flammea",12,36,-87
"Hiodon alosoides",88,40,-93
"Hiodon tergisus",82,40,-91
"Hybognathus amarus",20,32,-107
"Hybognathus hayi",36,33,-89
"Hybognathus nuchalis",102,33,-92
"Hybognathus regius",53,34,-77
"Hybopsis alborus",7,36,-79
"Hybopsis hypsinotus",8,36,-82
"Hybopsis labrosa",8,36,-82
"Hybopsis lineapunctata",5,34,-86
"Hybopsis meeki",18,40,-95
"Hybopsis rubrifrons",8,34,-82
"Hybopsis winchelli",30,32,-85
"Hybopsis zanema",9,36,-81
"Hypentelium etowanum",15,35,-88
"Hypentelium nigricans",163,42,-91
"Hypentelium roanokense",6,38,-80
"Hypomesus pretiosus",22,48,-125
"Hypomesus transpacificus",8,39,-122
"Ichthymyzon castaneus",90,37,-90
"Ichthymyzon fossor",49,47,-88
"Ichthymyzon gagei",53,32,-94
"Ichthymyzon greeleyi",20,37,-81
"Ichthyomyzon bdellium",30,38,-88
"Ichthyomyzon unicuspis",71,47,-84
"Ictalurus brunneus",31,35,-82
"Ictalurus catus",90,33,-80
"Ictalurus lupus",1,33,-105
"Ictalurus melas",505,43,-99
"Ictalurus natalis",461,42,-98
"Ictalurus nebulosus",377,46,-82
"Ictalurus platycephalus",15,36,-80
"Ictalurus pricei",1,32,-110
"Ictalurus serracanthus",9,30,-85
"Ictiobus bubalus",131,34,-96
"Ictiobus cyprinellus",115,42,-92
"Ictiobus niger",70,40,-92
"Iotichthys phlegethontis",5,42,-112
"Jordanella floridae",16,30,-81
"Lagochila lacera",16,37,-87
"Lampetra aepyptera",58,38,-88
"Lampetra appendix",84,43,-86
"Lampetra ayresi",14,45,-124
"Lampetra folletti",2,42,-122
"Lampetra hubbsi",1,37,-119
"Lampetra japonica",1,49,-117
"Lampetra lethophaga",5,42,-122
"Lampetra meridionale",6,34,-87
"Lampetra minima",1,44,-123
"Lampetra pacifica",5,41,-123
"Lampetra richardsoni",16,48,-124
"Lampetra similis",4,42,-122
"Lampetra tridentata",42,45,-124
"Lavinia exilicauda",15,38,-122
"Lavinia symmetricus",19,40,-122
"Lepidomeda albivallis",2,39,-116
"Lepidomedia altivelis",1,38,-116
"Lepidomedia mollispinis",4,38,-114
"Lepidomedia vittata",3,35,-111
"Lepisosteus oculatus",77,34,-94
"Lepisosteus osseus",224,40,-92
"Lepisosteus platostomus",103,40,-92
"Lepisosteus platyrhincus",22,30,-82
"Leptolucania ommata",19,31,-81
"Lota lota",0,36,-95
"Lucania goodei",25,31,-81
"Lucania parva",62,31,-80
"Luxilus coccogenis",13,36,-82
"Luxilus pilsbryi",15,37,-95
"Luxilus zonatus",11,38,-90
"Luxilus zonistius",9,34,-85
"Lythrurus ardens",43,38,-86
"Lythrurus bellus",11,34,-88
"Lythrurus fumeus",45,31,-95
"Lythrurus lirus",15,36,-86
"Lythrurus roseipinnis",16,32,-90
"Meda fulgida",9,34,-111
"Microgadus tomcod",20,44,-70
"Minytrema melanops",117,34,-89
"Moapa coriacea",1,37,-114
"Moostoma atripinne",2,37,-86
"Moxostoma ariommus",2,38,-81
"Moxostoma austrinum ",1,30,-105
"Moxostoma carinatum",118,42,-92
"Moxostoma cervinum",9,38,-80
"Moxostoma congestum ",13,32,-98
"Moxostoma duquesnei",103,38,-88
"Moxostoma hamiltoni",1,37,-79
"Moxostoma hubbsi",3,47,-73
"Moxostoma iachneri",7,33,-85
"Moxostoma pappillosum",9,36,-81
"Moxostoma poecilurum",43,31,-89
"Moxostoma rhothoecum",4,38,-80
"Moxostoma robustum",11,36,-82
"Moxostoma rupiscartes",6,35,-83
"Moxostoma valenciennesi",40,44,-85
"Mylocheilus caurinus",32,48,-124
"Mylopharodon conocephalus",16,39,-122
"Nocomis asper",8,37,-95
"Nocomis effusus",9,37,-88
"Nocomis leptocephalus",52,33,-82
"Nocomis platyrhynchus",7,37,-81
"Nocomis raneyi",10,38,-79
"Notropis albeolus",15,38,-79
"Notropis altipinnis",13,36,-80
"Notropis amabilis",28,30,-122
"Notropis amnis",57,31,-92
"Notropis amoenus",30,41,-78
"Notropis analstanus",41,41,-79
"Notropis anogenus",51,44,-90
"Notropis ariommus",21,38,-87
"Notropis asperifrons",11,35,-87
"Notropis atherinoides",290,42,-90
"Notropis atrapiculus",9,32,-86
"Notropis atrocaudalis",16,32,-95
"Notropis baileyi",13,33,-88
"Notropis bairdi",18,34,-100
"Notropis bifrenatus",41,44,-77
"Notropis boops",64,37,-89
"Notropis braytoni",11,30,-102
"Notropis buccatus",80,40,-85
"Notropis buccula",21,38,-122
"Notropis cerasinus",7,37,-80
"Notropis chihuahua",4,30,-104
"Notropis chiliticus",7,37,-80
"Notropis chloristius",7,36,-81
"Notropis chlorocephalus",4,36,-82
"Notropis chrosomus",7,35,-88
"Notropis cummingsae",26,34,-81
"Notropis dorsalis",113,43,-95
"Notropis edwardraneyi",9,33,-88
"Notropis emiliae",124,33,-91
"Notropis girardi",27,36,-98
"Notropis greenei",20,37,-93
"Notropis harperi",15,31,-83
"Notropis heterodon",89,46,-93
"Notropis heterolepis",156,43,-90
"Notropis hubbsi",13,34,-92
"Notropis hysilepsis",4,35,-85
"Notropis jemezanus",18,30,-105
"Notropis leucidus",20,37,-85
"Notropis longirostris",26,32,-85
"Notropis lutipinnis",10,34,-83
"Notropis maculatus",67,33,-86
"Notropis mekistocholas",1,36,-79
"Notropis nubilus",31,38,-92
"Notropis ortenburgeri",8,36,-96
"Notropis oxyrhynchus",9,33,-98
"Notropis ozarcanus",6,37,-92
"Notropis perpallidus",5,35,-94
"Notropis petersoni",43,31,-82
"Notropis photogenis",0,36,-95
"Notropis potteri",0,36,-95
"Notropis procne",0,36,-95
"Notropis rubellus ",180,42,-84
"Notropis rubricroceus",10,37,-82
"Notropis sabinae",14,32,-94
"Notropis scabriceps",8,38,-81
"Notropis scepticus",13,36,-81
"Notropis semperasper",3,38,-80
"Notropis shumardi",48,36,-90
"Notropis simus",11,34,-106
"Notropis spectrunculus",8,36,-82
"Notropis stibius",12,34,-89
"Notropis telescops",29,37,-86
"Notropis topeka",42,40,-95
"Notropis uranoscopus",3,33,-88
"Notropis xaenocephalus",8,34,-86
"Noturus albater",6,38,-93
"Noturus baileyi",1,36,-84
"Noturus elegans",7,37,-87
"Noturus eleutherus",46,38,-87
"Noturus exilis",60,37,-94
"Noturus flavater",8,38,-92
"Noturus flavipinnis",5,37,-83
"Noturus flavus",219,43,-87
"Noturus funebris",21,32,-88
"Noturus furiosus",4,36,-78
"Noturus gilberti",4,38,-80
"Noturus gyrinus",246,43,-90
"Noturus hildebrandi",5,33,-90
"Noturus insignis",55,35,-77
"Noturus lachneri",1,35,-92
"Noturus leptacanthus",47,31,-82
"Noturus miurus",0,36,-95
"Noturus munitus",12,33,-90
"Noturus nocturnus",101,36,-89
"Noturus phaeus",13,32,-90
"Noturus placidus",6,38,-95
"Noturus stigmosus",30,42,-82
"Noturus taylori",1,34,-93
"Noturus trautmani",1,41,-82
"Novumbra hubbsi",4,48,-124
"Oncorhynchus gorbuscha",26,48,-125
"Oncorhynchus keta",22,44,-125
"Oncorhynchus kisutch",76,45,-124
"Oncorhynchus nerka",95,48,-122
"Oncorhynchus tshawytscha",91,44,-124
"Opisthonema oglinum",2,30,-82
"Oregonichthys crameri",8,44,-123
"Orthodon microlepidotus",11,38,-122
"Osmerus mordax",107,47,-72
"Percopsis omiscomaycus",3,49,-102
"Percopsis transmontana",14,47,-123
"Petromyzon marinus",64,47,-77
"Phenacobius catostomus",8,35,-88
"Phenacobius crassilabrum",5,36,-84
"Phenacobius mirabilis",135,40,-90
"Phenacobius teretulus",7,37,-81
"Phenacobius uranops",14,37,-88
"Phoxinus cumberlandensis",3,37,-84
"Phoxinus eos",135,48,-87
"Phoxinus erythrogaster",83,40,-90
"Phoxinus neogaeus",109,45,-90
"Phoxinus oreas",20,37,-80
"Pimephales tenellus",21,37,-95
"Pimephales vigilax",215,32,-90
"Polyodon spathula",270,42,-96
"Prosopium abyssicola",2,42,-111
"Prosopium coulteri",4,48,-114
"Prosopium cylindraccum",31,47,-84
"Prosopium gemmiferum",2,42,-111
"Prosopium spilonotus",2,42,-111
"Prosopium williamsoni",69,46,-111
"Pteronofropis hypselopterus",31,31,-83
"Pteronotropis euryzonus",4,32,-86
"Pteronotropis signipinnis",9,31,-86
"Pterontropis welaka",15,32,-87
"Ptychocheilus grandis",17,38,-122
"Ptychocheilus lucius",14,40,-110
"Ptychocheilus oregonesis",62,47,-117
"Ptychocheilus umpquae",4,44,-124
"Pylodictis olivaris",385,42,-97
"Relictus solutarius",1,41,-115
"Rhinichthys atratulus",238,46,-87
"Rhinichthys cataractae",322,45,-107
"Rhinichthys evermanni",3,44,-124
"Rhinichthys falcatus",15,44,-120
"Rhinichthys osculus",171,42,-116
"Rhodeus sericeus",1,42,-74
"Richardsonius balteatus",79,43,-117
"Richardsonius egregius",17,41,-118
"Rivulus marmoratus",5,26,-81
"Salmo aguabonita",3,38,-120
"Salmo apache",6,37,-110
"Salmo clarki",174,41,-110
"Salvelinus agassizi",1,43,-72
"Salvelinus alpinus",28,46,-69
"Salvelinus confluentus",24,46,-117
"Salvelinus malma",5,48,-124
"Salvelinus namaycush",159,46,-87
"Satan eurystomus",1,30,-98
"Scaphirhynchus albus",29,40,-90
"Scaphirhynchus platorynchus",113,35,-92
"Semotilus atromaculatus",352,42,-94
"Semotilus corporalis",52,44,-76
"Semotilus lumbee",2,36,-80
"Speoplatyrhinus poulsoni",1,35,-87
"Spirinchus thaleichthys",11,48,-125
"Strongylura marina",82,31,-80
"Thaleichthys pacificus",13,39,-124
"Thymallus arcticus",29,46,-114
"Tiaroga cobitis",8,34,-110
"Tinca tinca",16,41,-106
"Trogloglanis pattersoni",1,30,-98
"Typhichthys subterraneus",21,38,-86
"Umbra limi",121,45,-89
"Umbra pygmaea",41,34,-77
"Xyrauchen texanus",12,38,-115
